Year,Scots,German,Seal,Biomass,LRP,3yr Avg,Seal Bmass,SI 3yr Avg
1999,"40,652","411,545",,"452,197","317,846",,"452,197",
2000,"167,943","275,694",,"443,637","317,846",,"443,637",
2001,"195,252","208,924",,"404,176","317,846",,"404,176",
2002,"116,403","339,227",,"455,630","317,846",,"455,630",
2003,"105,779","256,847",,"362,626","317,846",407477,"362,626",
2004,"98,693","333,113",,"431,806","317,846",416687,"431,806",
2005,"20,064","219,321",,"239,385","317,846",344606,"239,385",
2006,"30,865","253,974",,"284,839","317,846",318677,"284,839",
2007,"45,846","443,782",,"489,628","317,846",337951,"489,628",
2008,"20,757","216,135",,"236,892","317,846",337120,"236,892",
2009,"77,503","324,204",,"401,707","317,846",376076,"401,707",
2010,"46,888","207,736",,"254,624","317,846",297741,"254,624",
2011,"122,585","258,091",,"380,676","317,846",345669,"380,676",
2012,"160,606","226,153",,"386,759","317,846",340686,"386,759",
2013,"66,184","208,825",,"275,009","317,846",347481,"275,009",
2014,"191,001","189,884",,"380,885","317,846",347551,"380,885",
2015,"249,225","140,298",,"389,523","317,846",348472,"389,523",
2016,"100,787","163,361",,"264,148","317,846",344852,"264,148",
2017,"141,966","165,783",,"307,749","317,846",320473,"307,749",
2018,"139,651","94,932","20,734","234,583","317,846",268827,"255,317",275738
2019,"133,332","150,116","30,000","280,470","317,846",274267,"310,470",291179
2020,"188,151","107,993","5,256","311,643","317,846",275565,"316,899",294229
2021,"90,764","131,667","12,062","200,473","317,846",264195,"212,535",279968
2022,"256,011","76,559","21,644","332,570","317,846",281562,"354,214",294549
2023,"177,329","65,237","64,707","242,566","317,846",258536,"307,273",291341
2024,"282,742","68,711","64,506","351,453","317,846",308863,"415,959",359149
2025,240150,0,0,"240,150","317,846",278056,240150,321127
