"","Ground","Date","Year","id","TowReplicate","TowID","Survey.No","Abundance","Density","Volume","Preservative","LengthAdjustment","MeanAgeInDays","Lat1","Lon1","Lat2","Lon2","TowTime","AvgTowDepth"
"1","SB",2018-06-09,2018,"SB2018-01",FALSE,14,1,22,0.208144594,105.6957549,"70% alcohol",7.054904545,8.562102273,45.065,-66.2283,45.06667,-65.2033,10,3
"2","SB",2018-08-05,2018,"SB2018-08",FALSE,21,5,59,NA,377.1109723,"4% formalin",6.283751333,5.348963889,45.21804,-64.7636,45.218,-64.7469,9,NA
"3","SB",2019-06-08,2019,"SB2019-02",TRUE,28,1,6,NA,4810.507594,"70% alcohol",6.441275,6.0053125,45.0972,-65.238,45.0972,-65.238,10,NA
"4","SB",2019-06-22,2019,"SB2019-04",TRUE,29,2,30,0.078968797,379.8968828,"70% alcohol",5.765788,3.190783333,45.0708,-65.206,45.0452,-65.274,10,11.6
"5","SI",2019-10-13,2019,"SI2019-02",TRUE,40,5,25,NA,NA,"70% alcohol",8.537405556,14.73918981,43.5003,-66.09261667,43.5092,-66.09168333,8,NA
"6","SB",2020-06-14,2020,"SB2020-01",TRUE,41,2,43,NA,NA,"4% formalin",6.627295385,6.780397436,45.02,-65.12,45.03,-65.11,9,11.78051004
"7","SB",2020-06-14,2020,"SB2020-02",TRUE,41,2,43,0.002557395,16813.98277,"4% formalin",5.315232353,1.313468137,45.03,-65.12,45.04,-65.12708,10,4.082376488
"8","SB",2019-06-22,2019,"SB2019-03",TRUE,29,2,30,0.055795194,537.6807214,"70% alcohol",6.761711,7.3404625,45.0506,-65.262,45.0708,-65.206,14,3.7
"9","SB",2020-06-27,2020,"SB2020-03",TRUE,42,3,23,NA,NA,"4% formalin",6.405348261,5.855617754,45.033333,-65.21666667,45.05,-65.2,10,4.3173
"10","SB",2019-09-15,2019,"SB2019-13",TRUE,37,8,92,0.001626322,56569.34733,"70% alcohol",8.108667188,12.95277995,45.0556,-65.2049,45.0645,-65.2049,10,16.509
"11","SB",2017-06-22,2017,"SB2017-01",FALSE,1,1,275,NA,NA,"4% formalin",9.063409091,16.93087121,45.0885,-65.132,45.1419,-65.2168,10,1
"12","SB",2020-08-23,2020,"SB2020-13",TRUE,47,7,111,NA,NA,"4% formalin",7.210378378,9.20990991,45.0493,-65.217,45.0556,-65.209,10,7.166429793
"13","SB",2019-07-06,2019,"SB2019-06",TRUE,30,3,12,0.042775755,280.5327425,"70% alcohol",8.7728425,15.72017708,45.0483,-65.2183,45.0433,-65.24,21,NA
"14","SI",2019-10-13,2019,"SI2019-01",TRUE,40,5,25,0.000420751,59417.56089,"4% formalin",8.038644375,12.66101823,43.50988333,-66.08818333,43.5013,-66.08601667,5,NA
"15","SB",2020-08-23,2020,"SB2020-14",TRUE,47,7,111,NA,NA,"4% formalin",7.264054054,9.433558559,45.0561,-65.204,NA,NA,15,11.60308719
"16","SB",2019-09-15,2019,"SB2019-12",TRUE,37,8,92,NA,NA,"4% formalin",8.004864643,12.52026935,45.05,-65.2,45.0562,-65.202,10,15.288
"17","GB",2021-10-18,2021,"GB2021-10",TRUE,63,5,29,NA,NA,"4% formalin",8.754225,15.64260417,43.56,-66.35,43.57,-66.35,10,25.7
"18","SB",2021-06-05,2021,"SB2021-02",TRUE,51,2,14,0.003331816,4201.912788,"4% formalin",8.666982857,15.27909524,45.049167,-65.193056,45.019444,-65.229722,10,2.701314023
"19","GB",2021-10-18,2021,"GB2021-09",TRUE,63,5,29,NA,NA,"4% formalin",9.602294286,19.17622619,43.57,-66.352,43.56,-66.352,11,15
"20","SB",2017-08-13,2017,"SB2017-04",FALSE,6,5,25,0.064167495,389.6053586,"4% formalin",13.192935,34.13722917,45.2533,-65.2333,45.17333333,-65.21,10,1
"21","SB",2017-07-29,2017,"SB2017-03",FALSE,5,4,25,NA,63.31614713,"4% formalin",18.902685,57.92785417,NA,NA,45.1943,-64.9216,10,19
"22","SB",2017-09-08,2017,"SB2017-06",FALSE,10,7,192,NA,NA,"4% formalin",10.9883457,24.95144043,45.0583,-65.235,NA,NA,10,NA
"23","SB",2018-08-05,2018,"SB2018-07",FALSE,20,5,59,NA,4670.452277,"4% formalin",9.452871429,18.55363095,45.05,-65.2167,45.0562,-65.2104,10,2
"24","SB",2017-08-26,2017,"SB2017-05",FALSE,8,6,16,NA,NA,"4% formalin",10.83642188,24.31842448,45.09333333,-65.26166667,NA,NA,10,NA
"25","SB",2017-07-15,2017,"SB2017-02",FALSE,4,3,21,NA,NA,"4% formalin",10.67166071,23.63191964,45.094583,-65.2667,NA,NA,NA,NA
"26","SB",2019-06-08,2019,"SB2019-01",TRUE,28,1,6,NA,3447.015471,"70% alcohol",10.802765,24.1781875,45.2281,-65.302,45.2281,-65.302,10,NA
"27","SB",2018-07-21,2018,"SB2018-06",FALSE,19,4,3,NA,3729.996438,"70% alcohol",10.43848333,22.66034722,45.0483,-65.229,45.0567,-65.2082,8,7
"28","GB",2021-10-03,2021,"GB2021-07",TRUE,62,4,4,NA,NA,"4% formalin",9.6255825,19.27326042,43.57,-66.52,43.56,-66.356,10,16.8
"29","SB",2021-08-01,2021,"SB2021-07",TRUE,54,6,3,0.000660581,4541.456179,"4% formalin",11.32113,26.33804167,45.05266667,-65.1855,45.0485,-65.3175,10,12.2
"30","SB",2021-08-15,2021,"SB2021-09",TRUE,55,7,1,0.000272877,3664.654174,"4% formalin",9.98058,20.75241667,45.0529,-65.20073333,45.05166667,-65.22116667,10,22
"31","SB",2021-08-29,2021,"SB2021-10",TRUE,57,8,3,0.000927081,3235.961647,"4% formalin",11.40057,26.66904167,45.03585,-65.23183333,45.05263333,-65.2,11,5.9
"32","SB",2021-08-29,2021,"SB2021-11",TRUE,57,8,3,0.001193523,2513.566619,"4% formalin",12.52266,31.34441667,45.05701667,-65.202,45.05226667,-65.22106667,11,12
"33","SB",2021-09-26,2021,"SB2021-14",TRUE,61,10,27,NA,NA,"4% formalin",15.25772739,42.7405308,45.0506,-65.217,45,-65.2,12,11.3
"34","SB",2021-09-26,2021,"SB2021-15",TRUE,61,10,27,NA,NA,"4% formalin",17.1574875,50.65619792,45.05,-65.2,45.035,-65.21,11,19.6
"35","SB",2021-09-13,2021,"SB2021-13",TRUE,59,9,2,NA,NA,"4% formalin",17.02095,50.08729167,45.05,-65.196,45.05,-65.2,11,14.7
"36","SB",2019-08-04,2019,"SB2019-08",TRUE,32,5,1,6.78e-05,14739.4081,"70% alcohol",17.1472,50.61333333,45.05,-66.2,45.0565,-66.2028,10,NA
"37","SB",2021-09-13,2021,"SB2021-12",TRUE,59,9,2,NA,NA,"4% formalin",18.01395,54.22479167,45.045,-65.2,45.054,-65.196,10,10.6
