"","edf","Ref.df","F","p-value"
"s(JulianDay):SourceDFO",2.87093040148412,3.1699867570242,10.7812672903654,5.33419218151643e-06
"s(JulianDay):SourceHSC",5.50530532978262,6.54835275356507,16.3521738293558,0
