Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-54.42070491,0.0128212246251319,36.799897322
BP,T02,-35.5,-53.98152821,0.0141855826681019,36.76610068
C1,T01,-35.5,-47.77231933,0.0592608760034778,40.295448062
C1,T02,-35.5,-50.83854792,0.029251302427003,39.32890525
FM,T01,-35.5,-52.19442029,0.0214071065652514,38.488204078
FM,T02,-35.5,-52.35861396,0.0206128766311799,37.83448231
LB,T01,-35.5,-54.69211187,0.0120445010271998,38.147339091
LB,T02,-35.5,-54.07437833,0.0138855205972096,37.96624246
LJ,T01,-35.5,-54.00536143,0.0141079482193592,37.12104874
LJ,T02,-35.5,-55.59662518,0.00977996908585745,37.32833026
LM,T01,-35.5,-52.58337609,0.019573225113837,37.665212019
LM,T02,-35.5,-55.67338979,0.00960862005925124,37.77925537
MS,T01,-35.5,-53.37531816,0.0163105341543155,38.869885499
MS,T02,-35.5,-54.73349136,0.0119302862482242,38.60977451
SL,T01,-35.5,-54.91224731,0.0114492033507978,30.100608309
SL,T02,-35.5,-40.18956907,0.339658973681742,30.04182387
SL,T03,-35.5,-56.65527743,0.00766429578603446,30.53539759
TM,T01,-35.5,-53.19469291,0.0170032017917718,28.91828196
TM,T02,-35.5,-36.2961488,0.832501682699842,28.31726594
TM,T03,-35.5,-60.30775998,0.00330539984201948,28.6069331
